54,quadrats,,,,
5,species,,,,
,Q,Q,Q,Q,Q
,Cc,Rp,Cm,Cf,Rt
C01,75.7,0,1.5,0,0
C02,16.4,0,0,0,0
C03,0,0,39.4,1.5,0
C04,75.7,0,1.5,0,0
C05,39.4,0,0,0,0
C06,75.7,0.3,0,0,0
C08,1.5,0,75.7,0,0
C09,39.4,1.5,39.4,0,0
C10,26.4,1.5,39.4,0,0
C11,39.4,1.5,39.4,0,0
C12,75.7,1.5,0,0,0
C13,9.2,0,0,4.3,0
C14,75.7,0.3,0,0,0
C15,55.7,0,9.2,0,0
C16,75.7,4.3,0,0,0
C17,75.7,0,0,0,0
C18,0,0,0,39.4,0
C19,0,0,0,26.4,55.7
C20,75.7,0.3,0,0,0
C21,75.7,1.5,0,0,0
C22,75.7,0,0,0,1.5
C23,16.4,1.5,39.4,0,0
C24,75.7,1.5,0,0,0
C25,75.7,4.3,0,0,0
C26,75.7,1.5,0,0,0
C27,75.7,0,0,0,1.5
C28,75.7,1.5,0,0,0
C29,39.4,4.3,0,0,0
C30,0.3,39.4,0,0,0
C31,55.7,1.5,0,0,0
C32,75.7,0.3,0,0,0
C33,4.3,1.5,55.7,0,0
C35,26.4,0,1.5,0,0
C38,39.4,1.5,0,0,0
C39,9.2,0,0,0,0
C40,26.4,0,0,0,16.4
C41,55.7,1.5,0,0,0
C42,26.4,0,1.5,16.4,9.2
C43,39.4,0,0,0,0
C44,1.5,2,75.7,0,0
C45,55.7,1.5,0,0,0
C46,16.4,1.5,0,0,39.4
C47,39.4,0,0,0,16.4
C48,55.7,1.5,0,0,0
C49,26.4,0,16.4,0,0
C50,9.2,0,0,26.4,0
C53,1.5,0,0,0,0
C54,55.7,1.5,0,0,0
C57,55.7,1.5,0,0,0
C59,1.5,0.3,55.7,0,0
C70,9.2,39.4,0,0,0
C71,16.4,0,0,9.2,0
C73,0,0,9.2,4.3,0
C74,55.7,0,0,0,16.4
