"Relevé","Axis1","Axis2","Axis3"
C01,0.0213,-0.4720,0.3248
C02,0.4569,-0.0152,-0.5375
C03,-1.1383,1.1833,0.1239
C04,0.0213,-0.4720,0.3248
C05,0.2722,-0.3527,-0.0760
C06,0.0781,-0.5212,0.2930
C08,-1.3770,0.8670,0.0155
C09,-0.4589,0.0602,0.1666
C10,-0.4679,0.1901,0.0769
C11,-0.4589,0.0602,0.1666
C12,0.0446,-0.5298,0.2611
C13,0.4638,0.5612,-0.6023
C14,0.0781,-0.5212,0.2930
C15,-0.0735,-0.2007,0.2033
C16,0.0187,-0.5485,0.2374
C17,0.0885,-0.5232,0.2994
C18,0.8042,1.8454,-0.0916
C19,1.0857,1.5580,0.4514
C20,0.0781,-0.5212,0.2930
C21,0.0446,-0.5298,0.2611
C22,0.1134,-0.4963,0.3343
C23,-0.6058,0.3955,0.0202
C24,0.0446,-0.5298,0.2611
C25,0.0187,-0.5485,0.2374
C26,0.0446,-0.5298,0.2611
C27,0.1134,-0.4963,0.3343
C28,0.0446,-0.5298,0.2611
C29,0.1365,-0.4048,-0.1801
C30,-0.7890,-0.1939,-1.6466
C31,0.1474,-0.4497,0.0804
C32,0.0781,-0.5212,0.2930
C33,-1.0841,0.7581,-0.0417
C35,0.1917,-0.0498,-0.1963
C38,0.1699,-0.3451,-0.1087
C39,0.5180,0.1607,-0.8506
C40,0.5370,0.0303,0.2040
C41,0.1474,-0.4497,0.0804
C42,0.3584,0.2885,0.1953
C43,0.2722,-0.3527,-0.0760
C44,-1.2521,0.6963,-0.0748
C45,0.1474,-0.4497,0.0804
C46,0.7645,0.3161,0.3701
C47,0.5117,-0.1600,0.0952
C48,0.1474,-0.4497,0.0804
C49,-0.2212,0.1867,0.0779
C50,0.6411,0.9280,-0.2092
C53,0.2335,0.5071,-1.4744
C54,0.1474,-0.4497,0.0804
C57,0.1474,-0.4497,0.0804
C59,-1.2755,0.9383,-0.0604
C70,-0.2644,-0.2046,-1.2113
C71,0.4863,0.3467,-0.2331
C73,-0.5735,1.6925,0.1304
C74,0.3211,-0.3023,0.3212
