54,quadrats,,,,,,,,,,,,,,
15,variable,,,,,,,,,,,,,,
,Q,C,C,Q,C,C,C,C,C,C,C,C,C,C,C
,SpCount,VegCom,Water,pH,Group12,Group11,Group10,Group9,Group8,Group7,Group6,Group5,Group4,Group3,Group2
C01,2.,3.,1.,7.30000019,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C02,1.,3.,2.,7.19999981,2.,2.,2.,2.,2.,2.,2.,2.,1.,1.,1.,
C03,2.,9.,0.,7.0999999,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,
C04,2.,1.,1.,7.30000019,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C05,1.,3.,0.,7.30000019,5.,5.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C06,3.,6.,2.,6.69999981,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C08,3.,9.,1.,7.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,
C09,3.,6.,2.,6.69999981,8.,8.,8.,3.,3.,3.,3.,3.,3.,3.,3.,
C10,3.,6.,1.,7.,8.,8.,8.,3.,3.,3.,3.,3.,3.,3.,3.,
C11,3.,5.,2.,6.69999981,8.,8.,8.,3.,3.,3.,3.,3.,3.,3.,3.,
C12,2.,5.,3.,7.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C13,2.,9.,0.,7.30000019,2.,2.,2.,2.,2.,2.,2.,2.,1.,1.,1.,
C14,2.,5.,2.,7.0999999,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C15,2.,1.,0.,7.30000019,5.,5.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C16,2.,1.,2.,7.0999999,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C17,1.,3.,2.,6.9000001,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C18,2.,3.,0.,6.9000001,17.,17.,17.,17.,17.,17.,17.,17.,17.,17.,3.,
C19,2.,3.,0.,6.9000001,18.,18.,18.,18.,18.,17.,17.,17.,17.,17.,3.,
C20,2.,3.,1.,6.5999999,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C21,2.,3.,1.,6.9000001,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C22,2.,5.,0.,7.0999999,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C23,3.,2.,2.,7.0999999,8.,8.,8.,3.,3.,3.,3.,3.,3.,3.,3.,
C24,2.,3.,2.,7.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C25,2.,5.,0.,7.4000001,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C26,2.,2.,2.,6.5999999,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C27,2.,2.,1.,7.19999981,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C28,2.,3.,1.,6.9000001,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C29,2.,3.,2.,6.9000001,5.,5.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C30,2.,4.,3.,6.5,29.,29.,29.,29.,29.,29.,29.,29.,29.,17.,3.,
C31,2.,5.,2.,6.9000001,5.,5.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C32,2.,5.,3.,6.9000001,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C33,3.,1.,2.,6.9000001,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,
C35,2.,2.,3.,6.9000001,33.,33.,33.,33.,2.,2.,2.,2.,1.,1.,1.,
C38,2.,3.,1.,7.30000019,5.,5.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C39,1.,3.,1.,7.,2.,2.,2.,2.,2.,2.,2.,2.,1.,1.,1.,
C40,2.,4.,0.,7.30000019,36.,33.,33.,33.,2.,2.,2.,2.,1.,1.,1.,
C41,2.,4.,2.,6.80000019,5.,5.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C42,4.,5.,1.,7.19999981,36.,33.,33.,33.,2.,2.,2.,2.,1.,1.,1.,
C43,1.,4.,4.,6.5,5.,5.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C44,3.,1.,2.,7.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,
C45,2.,1.,0.,7.30000019,5.,5.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C46,3.,4.,1.,7.0999999,18.,18.,18.,18.,18.,17.,17.,17.,17.,17.,3.,
C47,2.,4.,1.,7.30000019,36.,33.,33.,33.,2.,2.,2.,2.,1.,1.,1.,
C48,2.,2.,2.,6.9000001,5.,5.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C49,2.,2.,2.,6.80000019,33.,33.,33.,33.,2.,2.,2.,2.,1.,1.,1.,
C50,3.,5.,2.,6.80000019,17.,17.,17.,17.,17.,17.,17.,17.,17.,17.,3.,
C53,2.,8.,2.,7.5,47.,47.,47.,47.,47.,47.,47.,17.,17.,17.,3.,
C54,2.,3.,1.,7.,5.,5.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C57,2.,2.,2.,6.80000019,5.,5.,1.,1.,1.,1.,1.,1.,1.,1.,1.,
C59,3.,4.,2.,6.5,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,3.,
C70,2.,1.,2.,7.,29.,29.,29.,29.,29.,29.,29.,29.,29.,17.,3.,
C71,2.,5.,1.,7.,2.,2.,2.,2.,2.,2.,2.,2.,1.,1.,1.,
C73,2.,1.,0.,7.4000001,53.,53.,53.,53.,53.,53.,47.,17.,17.,17.,3.,
C74,2.,5.,2.,7.,36.,33.,33.,33.,2.,2.,2.,2.,1.,1.,1.,
